"","salario","vacaciones","salario_por_hora","impuestos","sexo","mercado","categoria","distancia","vacaciones_num"
"56",7944.42,"23",3.71606682258603,0,"HOMBRE","LOCAL O REGIONAL","TECNICO",22,22
"57",21000.04,"27",10.0685123287671,206.91,"HOMBRE","NACIONAL","TECNICO",47,26
"58",18711.7,"27",8.97136301369863,179.61,"HOMBRE","NACIONAL","TECNICO",70,26
"59",45138.91,"23",21.6419431506849,800.23,"MUJER","NACIONAL","MANDO_MEDIO",24,22
"60",45225.04,"23",21.6832383561644,779.16,"HOMBRE","MUNDIAL","MANDO_MEDIO",80,22
"61",27829.29,"23",13.3428102739726,380.89,"HOMBRE","MUNDIAL","TECNICO",41,22
"62",22060.43,"23",10.5769184931507,189.67,"HOMBRE","NACIONAL","TECNICO",71,22
"63",15563.96,"22",7.46217260273973,74.98,"HOMBRE","NACIONAL","TECNICO",46,21
"64",12331.88,"23",5.91254520547945,17.55,"HOMBRE","NACIONAL","TECNICO",23,22
"65",6374,"8",3.05602739726027,239.05,"HOMBRE","NACIONAL","TECNICO",62,7
"66",43968.51,"30",21.0807924657534,1444.05,"HOMBRE","LOCAL O REGIONAL","MANDO_MEDIO",49,29
"67",39952.7,"25",19.155404109589,650.06,"HOMBRE","NACIONAL","MANDO_MEDIO",44,24
"68",2649.59,"5",2.03256219178082,14.7,"HOMBRE","LOCAL O REGIONAL","TECNICO",55,4
"69",32794.9,"22",16.9984672343576,546.34,"MUJER","LOCAL O REGIONAL","MANDO_MEDIO",29,21
"70",21418.88,"22",11.1019740836727,311.76,"MUJER","LOCAL O REGIONAL","TECNICO",26,21
"71",42938.74,"22",20.5870671232877,609,"HOMBRE","NACIONAL","MANDO_MEDIO",8,21
"72",28786.41,"22",13.8017034246575,325.71,"MUJER","NACIONAL","TECNICO",68,21
"73",15944.41,"22",8.26441095890411,67.52,"MUJER","LOCAL O REGIONAL","TECNICO",71,21
"74",19686.28,"22",10.2039215105516,154.99,"MUJER","LOCAL O REGIONAL","TECNICO",68,21
"75",19282.17,"22",9.9944605701592,177.2,"MUJER","LOCAL O REGIONAL","TECNICO",61,21
"76",31644.61,"22",16.402241392077,394.37,"MUJER","LOCAL O REGIONAL","MANDO_MEDIO",73,21
"77",30201.32,"22",15.6541458718993,406.71,"HOMBRE","LOCAL O REGIONAL","MANDO_MEDIO",5,21
"78",19304.19,"22",9.25543356164383,176.35,"HOMBRE","LOCAL O REGIONAL","TECNICO",58,21
"79",23638.61,"23",11.3335801369863,379.5,"HOMBRE","NACIONAL","TECNICO",48,22
"80",17391.85,"23",8.33855821917808,170.15,"HOMBRE","UNIÓN EUROPEA","TECNICO",72,22
"81",21702.42,"29",10.9529156452776,363.21,"MUJER","NACIONAL","TECNICO",27,28
"82",30028.98,"23",14.3974561643836,385.71,"HOMBRE","MUNDIAL","MANDO_MEDIO",47,22
"83",40629.75,"22",21.0594779711218,610.23,"MUJER","MUNDIAL","MANDO_MEDIO",20,21
"84",52038.65,"25",26.9730136986301,592.38,"HOMBRE","NACIONAL","MANDO_MEDIO",53,24
"85",7107.9,"30",7.57310502283105,0,"HOMBRE","NACIONAL","TECNICO",66,29
"86",5590.68,"30",7.14790136986301,0,"HOMBRE","NACIONAL","TECNICO",48,29
"87",24199.52,"23",10.5477359900374,265.9,"HOMBRE","NACIONAL","TECNICO",23,22
"88",19071.02,"23",8.312399750934,181.15,"HOMBRE","NACIONAL","TECNICO",10,22
"89",39511.58,"23",18.9439082191781,641.61,"HOMBRE","MUNDIAL","MANDO_MEDIO",13,22
"90",75002,"23",35.9598630136986,1663.02,"HOMBRE","NACIONAL","MANDO_MEDIO",58,22
"91",19814.77,"23",9.50023219178082,264.04,"HOMBRE","NACIONAL","TECNICO",30,22
"92",16623.11,"22",8.17434281700035,175.12,"MUJER","LOCAL O REGIONAL","TECNICO",69,21
"93",16229.4,"30",8.89282191780822,600,"MUJER","NACIONAL","TECNICO",28,29
"94",20376,"23",9.76931506849315,207.93,"MUJER","NACIONAL","TECNICO",50,22
"95",1548.37,"30",7.42369178082192,2.58,"MUJER","NACIONAL","TECNICO",47,29
"96",38048.15,"25",19.7213661606812,625.49,"MUJER","NACIONAL","MANDO_MEDIO",39,24
"97",30793.14,"25",14.7638342465753,378.89,"MUJER","NACIONAL","MANDO_MEDIO",52,24
"98",16538.36,"22",7.55176255707763,175.21,"HOMBRE","LOCAL O REGIONAL","TECNICO",18,21
"99",29500,"22",14.1438356164384,397.37,"MUJER","NACIONAL","TECNICO",48,21
"100",19011.33,"23",9.11502123287671,192.57,"HOMBRE","NACIONAL","TECNICO",46,22
"101",45957.72,"23",22.0345232876712,672.26,"MUJER","NACIONAL","MANDO_MEDIO",70,22
"102",18295.85,"21",8.77198287671233,183.46,"HOMBRE","NACIONAL","TECNICO",5,20
"103",19246.65,"20",9.22784589041096,186.44,"HOMBRE","NACIONAL","TECNICO",41,19
"104",23378.43,"22",11.2088363013699,229.59,"HOMBRE","LOCAL O REGIONAL","TECNICO",33,21
"105",23182.64,"22",11.1149643835616,201.08,"HOMBRE","LOCAL O REGIONAL","TECNICO",38,21
"106",29066.91,"23",15.0661510551648,404.81,"MUJER","NACIONAL","TECNICO",63,22
"107",33697.57,"23",17.4663450573862,368.89,"MUJER","NACIONAL","MANDO_MEDIO",5,22
"108",37694.32,"22",18.0726191780822,559.35,"HOMBRE","LOCAL O REGIONAL","MANDO_MEDIO",79,21
"109",17508.36,"22",8.39441917808219,143.52,"HOMBRE","LOCAL O REGIONAL","TECNICO",25,21
"110",55682.63,"26",33.3714392123288,1492.9,"HOMBRE","LOCAL O REGIONAL","MANDO_MEDIO",1,25
"111",24579.64,"24",13.468295890411,201.06,"HOMBRE","NACIONAL","TECNICO",71,23
"112",39186.98,"22",18.7882780821918,513.65,"HOMBRE","NACIONAL","MANDO_MEDIO",39,21
"113",25189.32,"22",12.0770712328767,464.9,"HOMBRE","LOCAL O REGIONAL","TECNICO",23,21
"114",20289.06,"22",9.72763150684932,135,"HOMBRE","LOCAL O REGIONAL","TECNICO",7,21
"115",42290.75,"22",21.9204183635691,703.4,"MUJER","NACIONAL","MANDO_MEDIO",62,21
"116",26842.56,"22",13.913211403184,358.33,"HOMBRE","NACIONAL","TECNICO",47,21
"117",24145.96,"22",11.5768301369863,353.66,"HOMBRE","LOCAL O REGIONAL","TECNICO",18,21
"118",38766.91,"22",18.5868746575342,534.33,"HOMBRE","UNIÓN EUROPEA","MANDO_MEDIO",34,21
"119",41475.88,"22",19.885695890411,594.47,"HOMBRE","UNIÓN EUROPEA","MANDO_MEDIO",6,21
"120",30911.37,"24",16.0221836356905,419.86,"HOMBRE","NACIONAL","MANDO_MEDIO",1,23
"121",14778.2,"21",7.08543835616438,92.73,"MUJER","NACIONAL","TECNICO",54,20
"122",25409.64,"25",13.1704909292854,374.32,"MUJER","NACIONAL","TECNICO",41,24
"123",46148.9,"28",22.1261849315068,734.63,"MUJER","NACIONAL","MANDO_MEDIO",71,27
"124",44042.62,"25",21.1163246575342,766.02,"MUJER","NACIONAL","MANDO_MEDIO",49,24
"125",50529.64,"26",24.2265397260274,894.29,"HOMBRE","NACIONAL","MANDO_MEDIO",58,25
"126",29027.86,"26",13.9174671232877,247.83,"MUJER","NACIONAL","TECNICO",63,25
"127",19607.82,"22",9.4010095890411,191.93,"MUJER","NACIONAL","TECNICO",60,21
"128",14478.87,"22",6.94192397260274,102.64,"HOMBRE","LOCAL O REGIONAL","TECNICO",20,21
"129",38115.71,"24",18.2746554794521,585.63,"HOMBRE","NACIONAL","MANDO_MEDIO",54,23
"130",17787.6,"21",8.52830136986301,301.85,"HOMBRE","NACIONAL","TECNICO",63,20
"131",35278.2,"21",16.9142054794521,460,"HOMBRE","NACIONAL","MANDO_MEDIO",11,20
"132",27163.32,"26",14.0794698259904,249,"HOMBRE","NACIONAL","TECNICO",33,25
"133",11112.36,"26",11.8396529680365,0,"HOMBRE","NACIONAL","TECNICO",1,25
"134",19478.27,"22",9.33889657534247,170.18,"HOMBRE","NACIONAL","TECNICO",67,21
"135",13259.89,"22",6.35748150684932,72.4,"HOMBRE","LOCAL O REGIONAL","TECNICO",64,21
"136",35070.19,"25",16.8144746575342,471.24,"HOMBRE","NACIONAL","MANDO_MEDIO",56,24
"137",20749,"22",10.7547574972233,196,"HOMBRE","LOCAL O REGIONAL","TECNICO",39,21
"138",7435.56,"22",8.91248630136986,0,"MUJER","LOCAL O REGIONAL","TECNICO",50,21
"139",17239.69,"22",8.93578896704924,277.8,"HOMBRE","LOCAL O REGIONAL","TECNICO",52,21
"140",15801.25,"22",8.19020733061829,123.71,"MUJER","LOCAL O REGIONAL","TECNICO",48,21
"141",15056.59,"22",7.8042302850796,71.5,"MUJER","LOCAL O REGIONAL","TECNICO",3,21
"142",27329.19,"30",13.1030363013699,462.83,"HOMBRE","NACIONAL","TECNICO",42,29
"143",13703.94,"22",9.3862602739726,82.25,"HOMBRE","LOCAL O REGIONAL","TECNICO",75,21
"144",35194.57,"23",16.8741089041096,818.65,"MUJER","NACIONAL","MANDO_MEDIO",65,22
"145",47327.76,"23",22.6913917808219,796.29,"HOMBRE","NACIONAL","MANDO_MEDIO",80,22
"146",14956.91,"22",7.17112123287671,137.65,"HOMBRE","MUNDIAL","TECNICO",75,21
"147",11747.73,"4",5.63247328767123,117.48,"HOMBRE","MUNDIAL","TECNICO",54,3
"148",9379.7,"24",5.62139554794521,21.87,"MUJER","LOCAL O REGIONAL","TECNICO",48,23
"149",36048.21,"30",17.2833883561644,550.83,"HOMBRE","MUNDIAL","MANDO_MEDIO",54,29
"150",5570.76,"22",10.6836493150685,0,"HOMBRE","MUNDIAL","TECNICO",52,21
"151",92268.43,"26",46.5666193222783,2699.47,"HOMBRE","NACIONAL","MANDO_MEDIO",75,25
"152",30154.15,"28",15.2183886085076,546.37,"HOMBRE","NACIONAL","MANDO_MEDIO",34,27
"153",36421,"28",18.381182408075,662.2,"HOMBRE","NACIONAL","MANDO_MEDIO",2,27
"154",20089,"25",9.63171232876712,176,"HOMBRE","NACIONAL","TECNICO",74,24
"155",11473,"22",11.0015068493151,14,"MUJER","LOCAL O REGIONAL","TECNICO",79,21
"156",40331.95,"25",19.3372363013699,605.8,"HOMBRE","NACIONAL","MANDO_MEDIO",75,24
"157",47855.3,"30",22.9443219178082,777.28,"HOMBRE","MUNDIAL","MANDO_MEDIO",19,29
"158",54750.91,"30",26.2504363013699,989.3,"HOMBRE","MUNDIAL","MANDO_MEDIO",5,29
"159",14992.67,"22",9.58435525114155,163.56,"MUJER","LOCAL O REGIONAL","TECNICO",13,21
"160",33594.41,"22",17.4128744909293,591.1,"HOMBRE","LOCAL O REGIONAL","MANDO_MEDIO",30,21
"161",24486,"22",12.6917437985931,312.81,"MUJER","LOCAL O REGIONAL","TECNICO",38,21
"162",61965.28,"24",32.1182495372084,963.58,"HOMBRE","NACIONAL","MANDO_MEDIO",6,23
"163",16299.43,"30",7.81479520547945,210.76,"HOMBRE","NACIONAL","TECNICO",15,29
"164",30415.04,"22",14.5825534246575,0,"MUJER","MUNDIAL","MANDO_MEDIO",69,21
"165",36706.59,"24",20.1132,575.99,"HOMBRE","LOCAL O REGIONAL","MANDO_MEDIO",36,23
"166",17389.2,"23",8.77609228550829,144.72,"HOMBRE","LOCAL O REGIONAL","TECNICO",24,22
"167",13040.54,"23",6.5813828406633,48.29,"HOMBRE","LOCAL O REGIONAL","TECNICO",68,22
"168",38044.26,"30",18.240398630137,547.74,"HOMBRE","NACIONAL","MANDO_MEDIO",76,29
"169",10740.49,"12",5.28158974358974,162.23,"HOMBRE","LOCAL O REGIONAL","TECNICO",7,11
"170",31235.76,"23",16.1903235838578,375.28,"MUJER","NACIONAL","MANDO_MEDIO",18,22
"171",22731.41,"29",13.6232765410959,243.92,"MUJER","NACIONAL","TECNICO",41,28
"172",43328.36,"22",20.7738712328767,566.79,"HOMBRE","NACIONAL","MANDO_MEDIO",67,21
"173",27647.32,"22",13.2555643835616,225.72,"HOMBRE","NACIONAL","TECNICO",35,21
"174",34304.64,"24",16.8691591148577,1013.25,"HOMBRE","NACIONAL","MANDO_MEDIO",66,23
"175",59093.58,"30",28.3325383561644,1128.98,"HOMBRE","NACIONAL","MANDO_MEDIO",66,29
"176",12923.14,"22",13.0442653208363,24.46,"HOMBRE","LOCAL O REGIONAL","TECNICO",4,21
"177",27445.41,"26",13.1587582191781,349.08,"HOMBRE","UNIÓN EUROPEA","TECNICO",80,25
"178",23936.19,"22",11.4762554794521,239.07,"MUJER","NACIONAL","TECNICO",61,21
"179",39412.26,"22",18.8962890410959,688.37,"HOMBRE","NACIONAL","MANDO_MEDIO",12,21
"180",62276.27,"22",29.8584856164384,1622.7,"HOMBRE","NACIONAL","MANDO_MEDIO",8,21
"181",3068.86,"22",9.80914155251142,0,"HOMBRE","NACIONAL","TECNICO",20,21
"182",36408.63,"30",18.8715594224361,484.98,"HOMBRE","LOCAL O REGIONAL","MANDO_MEDIO",20,29
"183",23353.44,"25",12.7964054794521,291.92,"HOMBRE","LOCAL O REGIONAL","TECNICO",21,24
"184",11751.83,"13",5.63443904109589,28.66,"HOMBRE","LOCAL O REGIONAL","TECNICO",45,12
"185",39539.08,"30",18.9570931506849,747.03,"MUJER","NACIONAL","MANDO_MEDIO",5,29
"186",11119.46,"22",23.6944353120243,71.07,"HOMBRE","LOCAL O REGIONAL","TECNICO",2,21
"187",16229.12,"30",7.78108493150685,116.14,"HOMBRE","NACIONAL","TECNICO",75,29
"188",28586.23,"22",14.8170018511662,1084.1,"MUJER","LOCAL O REGIONAL","TECNICO",39,21
"189",19305.87,"22",10.0067449092929,271.8,"MUJER","LOCAL O REGIONAL","TECNICO",33,21
"190",4890.69,"21",9.37940547945205,61.27,"HOMBRE","LOCAL O REGIONAL","TECNICO",2,20
"191",29782.9,"22",14.2794726027397,432.21,"MUJER","MUNDIAL","TECNICO",76,21
"192",37213.68,"22",17.8421753424658,780.38,"HOMBRE","MUNDIAL","MANDO_MEDIO",42,21
"193",12500.04,"22",11.9863397260274,90.59,"MUJER","NACIONAL","TECNICO",45,21
"194",7389.16,"30",3.72920836337419,9.52,"MUJER","LOCAL O REGIONAL","TECNICO",21,29
"195",25902.47,"22",13.4259378008145,423.86,"MUJER","LOCAL O REGIONAL","TECNICO",43,21
"196",17455.13,"22",9.04745723805998,190.42,"MUJER","LOCAL O REGIONAL","TECNICO",56,21
"197",19848.4,"22",9.51635616438356,324.79,"HOMBRE","MUNDIAL","TECNICO",32,21
"198",10511.24,"30",5.03963561643836,123.59,"HOMBRE","MUNDIAL","TECNICO",59,29
"199",10763.24,"30",5.16045753424658,130.51,"HOMBRE","MUNDIAL","TECNICO",39,29
"200",6822.61,"30",3.27111438356164,57.28,"HOMBRE","MUNDIAL","TECNICO",6,29
"201",20283.63,"22",9.72502808219178,205.98,"HOMBRE","NACIONAL","TECNICO",38,21
"202",17746.68,"84",18.9081826484018,158.96,"HOMBRE","LOCAL O REGIONAL","TECNICO",18,41
"203",38268,"22",18.3476712328767,520.96,"MUJER","MUNDIAL","MANDO_MEDIO",52,21
"204",16330.1,"30",7.8295,108.79,"HOMBRE","LOCAL O REGIONAL","TECNICO",58,29
"205",47272,"25",23.2458025992273,688.99,"HOMBRE","NACIONAL","MANDO_MEDIO",69,24
"206",38012,"25",18.6922374429224,459.98,"HOMBRE","NACIONAL","MANDO_MEDIO",72,24
"207",30091.84,"22",15.5973994816735,342.61,"MUJER","LOCAL O REGIONAL","MANDO_MEDIO",71,21
"208",28615.68,"22",14.8322665679378,344,"MUJER","LOCAL O REGIONAL","TECNICO",45,21
"209",16198.58,"30",8.39615401703073,115.83,"HOMBRE","LOCAL O REGIONAL","TECNICO",63,29
"210",16762.02,"30",8.68819992595335,171.61,"HOMBRE","LOCAL O REGIONAL","TECNICO",47,29
"211",54862.68,"22",26.3040246575342,921.32,"HOMBRE","MUNDIAL","MANDO_MEDIO",25,21
"212",26587.44,"22",13.7809759348389,330.28,"HOMBRE","MUNDIAL","TECNICO",73,21
"213",77983,"22",37.3891095890411,1384.76,"MUJER","NACIONAL","MANDO_MEDIO",54,21
"214",38367.65,"23",19.3636301369863,522.37,"HOMBRE","MUNDIAL","MANDO_MEDIO",61,22
"215",34996.95,"23",17.662483777938,457.17,"HOMBRE","MUNDIAL","MANDO_MEDIO",16,22
"216",19539.16,"22",9.3680904109589,153.59,"MUJER","NACIONAL","TECNICO",80,21
"217",24810,"22",11.8952054794521,18.29,"HOMBRE","NACIONAL","TECNICO",52,21
"218",23408.26,"30",11.2231383561644,239.04,"HOMBRE","NACIONAL","TECNICO",51,29
"219",5752.8,"30",5.51638356164384,0,"MUJER","LOCAL O REGIONAL","TECNICO",56,29
"220",194467.14,"25",100.797480932988,4645.09,"MUJER","UNIÓN EUROPEA","DIRECTIVO",41,24
"221",88359.68,"25",45.7991677156609,2233.44,"HOMBRE","UNIÓN EUROPEA","MANDO_MEDIO",53,24
"222",60019.55,"25",31.1097260273973,1011.41,"HOMBRE","UNIÓN EUROPEA","MANDO_MEDIO",28,24
"223",28027.2,"23",13.437698630137,397.05,"MUJER","LOCAL O REGIONAL","TECNICO",22,22
"224",51977.82,"25",26.2324974765681,965.02,"HOMBRE","MUNDIAL","MANDO_MEDIO",32,24
"225",15655.97,"27",42.8930684931507,154.99,"HOMBRE","NACIONAL","TECNICO",5,26
"226",22624.56,"23",10.8473917808219,215.47,"MUJER","NACIONAL","TECNICO",47,22
"227",27182.86,"23",13.7188190338861,363.54,"HOMBRE","UNIÓN EUROPEA","TECNICO",25,22
"228",24174.94,"22",11.5907246575342,347.89,"HOMBRE","NACIONAL","TECNICO",13,21
"229",34552.85,"22",17.9096593854128,547.85,"MUJER","LOCAL O REGIONAL","MANDO_MEDIO",55,21
"230",26432.67,"22",13.7007545353573,317.07,"MUJER","LOCAL O REGIONAL","TECNICO",60,21
"231",18167.96,"22",9.41693594964828,254.76,"MUJER","LOCAL O REGIONAL","TECNICO",18,21
"232",21477.06,"22",11.1321303221029,184.57,"MUJER","LOCAL O REGIONAL","TECNICO",63,21
"233",37523.83,"23",17.5520755095222,444.02,"HOMBRE","LOCAL O REGIONAL","MANDO_MEDIO",17,22
"234",49091.01,"22",23.5367856164384,581.63,"MUJER","UNIÓN EUROPEA","MANDO_MEDIO",39,21
"235",13039.86,"21",13.1620793078587,63.08,"MUJER","LOCAL O REGIONAL","TECNICO",8,20
"236",39967.78,"25",19.1626342465753,587.01,"HOMBRE","NACIONAL","MANDO_MEDIO",56,24
"237",37193.12,"22",17.8323178082192,521.83,"HOMBRE","LOCAL O REGIONAL","MANDO_MEDIO",41,21
"238",36766.23,"22",17.6276445205479,502.48,"MUJER","LOCAL O REGIONAL","MANDO_MEDIO",73,21
"239",18748.05,"22",9.7176119955572,167.55,"HOMBRE","LOCAL O REGIONAL","TECNICO",42,21
"240",22557.86,"22",11.6923376527212,217.41,"HOMBRE","LOCAL O REGIONAL","TECNICO",62,21
"241",22676.07,"22",11.7536090336912,237.27,"HOMBRE","LOCAL O REGIONAL","TECNICO",76,21
"242",7285.04,"22",3.77602961865976,79.96,"MUJER","LOCAL O REGIONAL","TECNICO",8,21
"243",23002.58,"22",11.0286342465753,254.55,"HOMBRE","NACIONAL","TECNICO",70,21
"244",11074.38,"23",5.7401451314328,32.34,"MUJER","LOCAL O REGIONAL","TECNICO",35,22
"245",27514.9,"22",13.1920753424658,337.28,"MUJER","LOCAL O REGIONAL","TECNICO",32,21
"246",31014.46,"22",14.8699465753425,423.3,"HOMBRE","LOCAL O REGIONAL","MANDO_MEDIO",1,21
"247",23962.25,"22",11.48875,271.39,"MUJER","LOCAL O REGIONAL","TECNICO",75,21
"248",30322.06,"22",15.71672861903,66.94,"MUJER","LOCAL O REGIONAL","MANDO_MEDIO",64,21
"249",59532.71,"22",30.8573839318771,1164.72,"HOMBRE","LOCAL O REGIONAL","MANDO_MEDIO",50,21
"250",34210.21,"22",17.732059977786,527.54,"MUJER","LOCAL O REGIONAL","MANDO_MEDIO",30,21
"251",35732.99,"22",18.5213572750833,561.01,"MUJER","LOCAL O REGIONAL","MANDO_MEDIO",66,21
"252",92966.64,"24",49.5256073059361,2658.57,"HOMBRE","NACIONAL","MANDO_MEDIO",66,23
"253",57963.53,"24",30.8785928462709,918.39,"HOMBRE","NACIONAL","MANDO_MEDIO",2,23
"254",29173.44,"24",15.5414063926941,388.72,"MUJER","NACIONAL","TECNICO",57,23
"255",13872.14,"22",7.19029840799704,201.4,"MUJER","LOCAL O REGIONAL","TECNICO",79,21
"256",19218.08,"22",13.1630684931507,179.32,"MUJER","LOCAL O REGIONAL","TECNICO",52,21
"257",23285.55,"22",12.069518696779,332.35,"MUJER","LOCAL O REGIONAL","TECNICO",51,21
"258",824.26,"7",1.58077260273973,5.23,"MUJER","NACIONAL","TECNICO",64,6
"259",27114.51,"30",13.0001075342466,360.5,"HOMBRE","LOCAL O REGIONAL","TECNICO",37,29
"260",12333.9,"30",5.91351369863014,116.68,"MUJER","NACIONAL","TECNICO",43,29
"261",60228.15,"25",28.8765102739726,1139.89,"HOMBRE","MUNDIAL","MANDO_MEDIO",54,24
"262",23816.47,"23",11.4188554794521,276.73,"MUJER","NACIONAL","TECNICO",64,22
"263",43965.64,"22",24.0907616438356,493.99,"HOMBRE","LOCAL O REGIONAL","MANDO_MEDIO",6,21
"264",37947.64,"22",19.6692691595705,533.17,"HOMBRE","LOCAL O REGIONAL","MANDO_MEDIO",24,21
"265",25211.83,"23",12.0878636986301,387.12,"HOMBRE","MUNDIAL","TECNICO",32,22
"266",22122,"23",10.6064383561644,289.22,"MUJER","MUNDIAL","TECNICO",39,22
"267",41244,"27",19.7745205479452,1014,"HOMBRE","MUNDIAL","MANDO_MEDIO",72,26
"268",15966.36,"21",7.65510410958904,78.9,"HOMBRE","NACIONAL","TECNICO",10,20
"269",31213.04,"23",16.178547204739,364.01,"MUJER","LOCAL O REGIONAL","MANDO_MEDIO",66,22
